CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
10/23/15,17:00:00,5D,0 E PRESTON ST,BURGLARY,,Mid-Town Belvedere,"(39.3045300000, -76.6158600000)"
10/23/15,17:00:00,7A,3900 BROOKHILL RD,AUTO THEFT,,Fallstaff,"(39.3606200000, -76.7053100000)"
10/23/15,17:00:00,6D,3100 ELM AVE,LARCENY FROM AUTO,,Hampden,"(39.3250700000, -76.6312000000)"
10/23/15,17:00:00,5A,200 N LUZERNE AVE,BURGLARY,,McElderry Park,"(39.2949200000, -76.5805900000)"
10/23/15,17:15:00,6C,2400 FREDERICK AVE,LARCENY,,Millhill,"(39.2838600000, -76.6551500000)"
10/23/15,17:25:00,6C,2400 BOSTON ST,LARCENY,,Canton,"(39.2818500000, -76.5822700000)"
10/23/15,20:20:00,7A,900 N MOUNT ST,AUTO THEFT,,Sandtown-Winchester,"(39.2994900000, -76.6443700000)"
10/23/15,20:30:00,4E,7000 FIELDCREST RD,COMMON ASSAULT,HANDS,Fallstaff,"(39.3641300000, -76.7089300000)"
10/23/15,20:33:00,4C,700 W 37TH ST,AGG. ASSAULT,OTHER,Hampden,"(39.3329700000, -76.6282000000)"
10/23/15,20:50:00,4A,1300 E LAFAYETTE AVE,AGG. ASSAULT,FIREARM,Oliver,"(39.3104500000, -76.6009000000)"
10/23/15,21:00:00,6G,5800 ETHELBERT AVE,LARCENY,,Glen,"(39.3563800000, -76.6836000000)"
10/23/15,21:00:00,6D,2300 BOSTON ST,LARCENY FROM AUTO,,Canton,"(39.2822300000, -76.5831900000)"
10/23/15,21:00:00,6G,300 SAINT PAUL ST,LARCENY,,Downtown,"(39.2925400000, -76.6135000000)"
10/23/15,21:00:00,6B,0 E PRATT ST,LARCENY,,Downtown West,"(39.2865200000, -76.6146800000)"
10/23/15,21:00:00,6J,100 E NORTHERN PKWY,LARCENY,,Homeland,"(39.3623700000, -76.6230700000)"
10/23/15,21:00:00,6D,600 E PRATT ST,LARCENY FROM AUTO,,Inner Harbor,"(39.2867600000, -76.6078100000)"
10/23/15,21:28:00,7A,0 S LINWOOD AVE,AUTO THEFT,,Patterson Park Neighborhood,"(39.2917100000, -76.5761100000)"
10/23/15,21:30:00,7A,1000 W PATAPSCO AVE,AUTO THEFT,,Cherry Hill,"(39.2466100000, -76.6358400000)"
10/23/15,21:30:00,4D,,AGG. ASSAULT,HANDS,,
10/23/15,21:30:00,6D,2600 BERYL AVE,LARCENY FROM AUTO,,Biddle Street,"(39.3031000000, -76.5808000000)"
10/23/15,21:30:00,4B,1700 N CHARLES ST,AGG. ASSAULT,KNIFE,Charles North,"(39.3088900000, -76.6164500000)"
10/23/15,21:41:00,4E,200 N ROSE ST,COMMON ASSAULT,HANDS,McElderry Park,"(39.2951500000, -76.5813200000)"
10/23/15,21:45:00,6C,1500 HARFORD AVE,LARCENY,,Oliver,"(39.3080200000, -76.6006400000)"
10/23/15,22:00:00,5A,3900 6TH ST,BURGLARY,,Brooklyn,"(39.2325300000, -76.6041200000)"
10/23/15,22:00:00,5B,200 N LINWOOD AVE,BURGLARY,,McElderry Park,"(39.2947200000, -76.5763900000)"
10/23/15,22:03:00,6G,1300 FLEET ST,LARCENY,,Inner Harbor,"(39.2843400000, -76.5989900000)"
10/23/15,22:04:00,4E,900 WATSON ST,COMMON ASSAULT,HANDS,Jonestown,"(39.2897100000, -76.6037800000)"
10/23/15,22:20:00,4E,1900 W FAYETTE ST,COMMON ASSAULT,HANDS,Penrose/Fayette Street Outreach,"(39.2894200000, -76.6477400000)"
10/23/15,22:25:00,4E,700 N CALHOUN ST,COMMON ASSAULT,HANDS,Harlem Park,"(39.2972400000, -76.6400700000)"
10/23/15,22:25:00,4E,700 N CALHOUN ST,COMMON ASSAULT,HANDS,Harlem Park,"(39.2972400000, -76.6400700000)"
10/23/15,22:25:00,4E,700 N CALHOUN ST,COMMON ASSAULT,HANDS,Harlem Park,"(39.2972400000, -76.6400700000)"
10/23/15,22:30:00,7A,2900 RUECKERT AVE,AUTO THEFT,,Lauraville,"(39.3488500000, -76.5665900000)"
10/23/15,22:30:00,6E,24TH ST & N HOWARD ST,LARCENY,,Old Goucher,"(39.3162400000, -76.6196200000)"
10/23/15,23:00:00,5A,5700 OAKSHIRE RD,BURGLARY,,Mount Washington,"(39.3626800000, -76.6665200000)"
10/23/15,23:00:00,6E,1900 WALBROOK AVE,LARCENY,,Mondawmin,"(39.3108700000, -76.6489700000)"
10/23/15,23:00:00,7A,2000 N FOREST PARK AVE,AUTO THEFT,,Franklintown,"(39.3098300000, -76.7077900000)"
10/23/15,23:00:00,3B,2200 W Cold Spring Ln,ROBBERY - STREET,,Coldspring,"(39.3436200000, -76.6523000000)"
10/23/15,23:00:00,7A,1200 GLYNDON AVE,AUTO THEFT,,Washington Village/Pigtown,"(39.2819400000, -76.6366500000)"
